Document Number,Document Title,FSC,Preparing Activity,Date,Notice Date,Amendment Date,Interim Amendment Date
FED-STD-601/GEN,Rubber: Sampling and Testing,9320,MR,12-Apr-1955,,,
FED-STD-601/2001,"Geometrical Measurements, General",9320,MR,12-Apr-1955,,,
FED-STD-601/2011,"Thickness, Micrometer, Flat Foot",9320,MR,12-Apr-1955,,,
FED-STD-601/2021,"Thickness, Micrometer, Spherical Foot",9320,MR,12-Apr-1955,,,
FED-STD-601/2031,"Thickness, Optical",9320,MR,12-Apr-1955,,,
FED-STD-601/2041,"Thickness, Magnetic Gage",9320,MR,12-Apr-1955,,,
FED-STD-601/2111,"Width, Narrow Units",9320,MR,12-Apr-1955,,,
FED-STD-601/2121,"Width, Scale or Tape",9320,MR,12-Apr-1955,,,
FED-STD-601/2211,"Diameter, Optical",9320,MR,12-Apr-1955,,,
FED-STD-601/2221,"Diameter, Scale or Tape",9320,MR,12-Apr-1955,,,
FED-STD-601/2231,"Diameter, Circumference Method",9320,MR,12-Apr-1955,,,
FED-STD-601/2311,"Circumference, Outer, Wire or Thread",9320,MR,12-Apr-1955,,,
FED-STD-601/2321,"Circumference, Diameter Method, Optical",9320,MR,12-Apr-1955,,,
FED-STD-601/2331,"Circumference, Scale",9320,MR,12-Apr-1955,,,
FED-STD-601/2341,"Circumference, Inner, Mandrel",9320,MR,12-Apr-1955,,,
FED-STD-601/2351,"Circumference, Outer, Tape",9320,MR,12-Apr-1955,,,
FED-STD-601/2361,"Circumference, Diameter, Scale or Tape",9320,MR,12-Apr-1955,,,
FED-STD-601/2411,Length,9320,MR,12-Apr-1955,,,
FED-STD-131C,Diazotype Paper Sheet Sizes,6750,AS,29-Mar-1968,,,
FED-STD-00131E,Diazotype Paper Sheet and Roll Sizes,6750,AS,5-Mar-1976,,,
FED-STD-141/4321.3,Brushing Properties,8010,MR,22-Mar-2001,,,
FED-STD-601/5211,"Flexibility, Bending Beam, Low-Temperature",9320,MR,12-Apr-1955,,,
FED-STD-601/5531,"Hardness, Plastometer, Low-Temperature",9320,MR,12-Apr-1955,,,
FED-STD-601/6001,"Liquid Treatment Tests, General",9320,MR,12-Apr-1955,,,
FED-STD-601/6111,Tensile Strength and Elongation Immediately After Immersion,9320,MR,12-Apr-1955,,,
FED-STD-601/6121,"Tensile Strength and Elongation, Liquid Immersion, After Rec",9320,MR,12-Apr-1955,,,
FED-STD-601/6211,"Change in Volume, Liquid Immersion",9320,MR,12-Apr-1955,,,
FED-STD-601/6251,"Change in Weight, Liquid Immersion",9320,MR,12-Apr-1955,,,
FED-STD-601/6311,"Change in Laminated Materials, Liquid Immersion",9320,MR,12-Apr-1955,,,
FED-STD-601/6411,"Hose, Change in Adhesion, Liquid Immersion",9320,MR,12-Apr-1955,,,
FED-STD-601/6511,"Extraction, Organic Solvent",9320,MR,12-Apr-1955,,,
FED-STD-601/6611,Resistance to Boiling Water,9320,MR,12-Apr-1955,,,
FED-STD-601/6621,"Extraction, Boiling Water",9320,MR,12-Apr-1955,,,
FED-STD-601/7001,"Accelerated Aging Tests, General",9320,MR,12-Apr-1955,,,
FED-STD-601/7411,"Sterilization, Steam",9320,MR,12-Apr-1955,,,
FED-STD-601/8311,"Adhesion, Seams (Seam Strength)",9320,MR,12-Apr-1955,,,
FED-STD-809A,Neutralization and Repair of GSA Approved Containers,7110,FSS,10-May-2005,,,
FED-STD-601/11241,"Impact Resistance, Hard Rubber, Variable Size Ball",9320,MR,12-Apr-1955,,,
FED-STD-601/11311,"Softening Point, Hard Rubber",9320,MR,12-Apr-1955,,,
FED-STD-601/12141,"Compression Resistance, Cellular Rubber Oscillograph",9320,MR,12-Apr-1955,,,
FED-STD-601/14211,Corrosion of Metal by Rubber,9320,MR,12-Apr-1955,,,
FED-STD-601/15411,Polysulfide Rubber (Thioplasts),9320,MR,12-Apr-1955,,,
FED-STD-601/15821,"Phosphate Plasticizer, Fusion Method",9320,MR,12-Apr-1955,,,
FED-STD-601/15825,"Phosphate Plasticizer, Sodium Method",9320,MR,12-Apr-1955,,,
FED-STD-601/16301,"Extractable Materials, General",9320,MR,12-Apr-1955,,,
FED-STD-832,Construction Methods and Materials For Vaults,7110,FSS,1-Sep-2002,,,
FED-STD-148/1.1,Filling Power,8320,GL,25-Oct-1968,,,
FED-STD-148/2,Determination of Composition of Feather Filling Materials,8320,GL,10-Dec-1964,,,
FED-STD-148/3,Determination of Brittleness of Feathers,8320,GL,10-Dec-1964,,,
FED-STD-148/4,Determination of Oxygen Number (Titration Method),8320,GL,10-Dec-1964,,,
FED-STD-148/5,Determination of Solvent Soluble Matter,8320,GL,10-Dec-1964,,,
FED-STD-791/103,Color of Gasoline,9100,MR,30-Sep-1986,,,
FED-STD-791/202.1,Cloud Intensity At Low Temperature,9100,MR,30-Sep-1986,,,
FED-STD-791/203.1,Pour Stability,9100,MR,30-Sep-1986,,,
FED-STD-791/204.1,Diluted Pour Point,9100,MR,30-Sep-1986,,,
FED-STD-791/313.3,Penetration of Lubricating Greases After Prolonged Working,9100,MR,30-Sep-1986,,,
FED-STD-791/321.3,Oil Separation From Lubricating Grease (Static Technique),9100,AT,30-Sep-1986,,,
FED-STD-791/331.2,Performance of Lubricating Grease in Antifriction Bearings,9100,MR,15-Jan-1969,,,
FED-STD-791/333.1,Performance of Lubrication Grease in Antifriction Bearings,9110,MR,15-Jan-1969,,,
FED-STD-791/3251.7,Water-Miscible Substances in Aircraft Jet and Rocket Fuels,9100,MR,15-Jan-1969,,,
FED-STD-791/3255.2,Water Separation Characteristics of Aviation Turbine Fuels,9100,MR,15-Jan-1969,,,
FED-STD-791/3289.1,Total Solids in Water for Aircraft Injection System,9100,MR,30-Sep-1986,,,
FED-STD-791/3290,Total and Dissolved Solids in Water for Aircraft Injection,9100,MR,15-Jan-1969,,,
FED-STD-791/3355.3,Oxidation Stability of Aviation Fuels (Potential Gum) (Air F,9100,MR,31-Dec-1961,,,
FED-STD-791/3403.2,Compatibility of Turbine Lubricating Oils,9100,MR,30-Sep-1986,,,
FED-STD-791/3405.2,Oxidation of Crankcase Lubricating Oils (Clear Engine),9100,MR,8-Mar-1972,,,
FED-STD-791/3407.2,Oxidation and Thermal Stability of Aircraft Engine Lubricati,9100,MR,30-Sep-1986,,,
FED-STD-791/3411.1,Thermal Stability and Corrosivity of Aircraft Turbine Engine,9100,MR,30-Sep-1986,,,
FED-STD-791/3420,"Demerit System for Rating Deposits, Wear, and Corrosion for",9100,MR,8-Mar-1972,,,
FED-STD-791/3430.2,Compatibility Characteristics of Universal Gear Lubricants,9100,MR,30-Sep-1986,,,
FED-STD-148/6,Determination of DDT (Dichloro-Diphenyl-Trichlormethane) Con,8320,GL,10-Dec-1964,,,
FED-STD-148/7,Determination of Moisture Content of Feather Filling Materia,8320,GL,10-Dec-1964,,,
FED-STD-148/8,Determination of Acidity (pH) of Feather Filling Materials,8320,GL,10-Dec-1964,,,
FED-STD-148/9.1,Determination of Chromic Oxide of Feather Filling Materials,8320,GL,25-Oct-1968,,,
FED-STD-148/10.1,Determination of Turbidity (Turbidimeter Method),8320,GL,14-Sep-1965,,,
FED-STD-148/11,Determination of Odor of Feather Filling Materials,8320,GL,10-Dec-1964,,,
FED-STD-148/12,Determination of Oxygen Number Colorimeter Method,8320,GL,10-Dec-1964,,,
FED-STD-148/13,Launderability of Feather Filling Material,8320,GL,25-Oct-1968,,,
FED-STD-148A/GEN,"Classification, Identification, and Testing of Feather Filli",8320,GL,10-Dec-1964,,,
FED-STD-149A,"Syringe, Luer, Interchangeable Component, Dimensions of",6515,DM,3-Aug-1961,,,
FED-STD-191/1700,Identification of Dyes On Animal Fibers,8300,GL,20-Jul-1978,,,
